company_id,company_name
964900,ubon bio ethanol company limited
281118,"health and life design co., ltd."
1059150,smart digital solution company limited
552747,m group real estate company limited
369765,federal asia company limited
784790,"civic corporation co., ltd."
188449,"bio & green marketing co.,ltd."
920159,siam safety company limited
181041,at digital company limited
65424,seed asia company limited
526806,"zenith construction co., ltd."
190581,"knowledge group (thailand) co.,ltd."
734670,"bus assembly co.,ltd."
220510,intelligent it company limited
46540,insight education consulting
114389,golden cup pharmaceutical company limited
174502,"international procurement services co., ltd."
217941,aeon insurance service (thailand) company limited
520713,mega genius company limited
301511,"mobicoat co.,ltd."
260042,auto transport company limited
506239,tongson company limited
313046,"aloft design co.,ltd."
178130,"jky concept co.,ltd."
825593,b w g company limited
767740,"mariner group co., ltd."
188426,"grosswell co.,ltd."
186486,"inter management system co., ltd."
251444,organic design company limited
8942,delivery technology company limited
935269,capital advisory services (thailand) limited
568642,rpg corporation company limited
541861,m&e supplygroup company limited
164675,ideeli company limited
193930,"professional technical equipment co., ltd."
391005,legal alliance company limited
136470,j. tech company limited
229024,limcharoen plating company limited
8095,affection company limited
194606,a.dusitnanond architect & associates company limited
420159,mse (thailand) limited
291575,"janesak travel co.,ltd."
100723,by train company limited
49137,rise accel company limited
460732,digital enterprise company limited
360154,data capital company limited
910037,connect business company limited
718773,"a & f planner co.,ltd."
568662,abloom company limited
475404,"zaki & company co., ltd."
1081975,solid work (thailand) company limited
175469,htm takahashi (thailand) company limited
208916,"pro-concept co., ltd."
792690,u-globe intertrade company limited
134125,golden link company limited
383908,katoen natie (thailand) limited
450202,"rajdamri plaza co., ltd."
181382,i.f.(thailand) company limited
251387,link rent a car company limited
84986,pack shot company limited
534673,more entertainment company limited
95881,access information system company limited
398893,maxhome and decor company limited
52231,shopping computer company limited
93932,align technology (thailand) company limited
511618,friend group engineering company limited
59087,"lotus international thai co., ltd."
1082451,solar power technology company limited
494006,phunkarn company limited
1063306,"s p v i co.,ltd."
204670,"heritage development co.,ltd."
110727,hammerhead marine company limited
498903,"ohara (thailand) co., ltd."
294886,"lotus development co., ltd."
1059309,"smart intertrade group co.,ltd."
1001862,smile equipment company limited
552762,m groups company limited
190211,"property shipping international co., ltd."
725577,water projects (thailand) company limited
369569,amway (thailand) company limited
181809,grand digital company limited
496664,fitness [thailand] company limited
377575,maiden dish company limited
792801,"pharinas co., ltd."
538517,land & road company limited
7038,"accountant co.,ltd."
455308,"digital connect co.,ltd."
98984,advance orthopaedic solution company limited
424846,e & l international company limited
613965,"miracle mushroom co.,ltd."
509949,"engineering world co., ltd."
532434,enlist company limited
428128,best car (thailand) company limited
1060171,smart global logistics company limited
364903,kr steel company limited
352153,celeb beauty company limited
516252,ocean bags company limited
102160,img (thailand) limited
50198,egg digital company limited
184705,grand castech company limited
366106,four partners company limited
1081679,"solution construction co.,ltd."
221280,koh samui adventure group company limited
124854,d. o. f. (thailand) company limited
1015589,asia energy green (thailand) company limited
163734,"pro co., ltd."
424691,quality project company limited
802468,"well quality co.,ltd."
563206,"mikuni shoji (thailand) co.,ltd."
1057586,s & k intertrade limited
1062532,sport product company limited
819846,"median co.,ltd."
527717,"new bangkok measuring co., ltd."
376751,andrew biggs company limited
564978,laundry pattaya company limited
285649,easy golf booking company limited
377893,lead engineering company limited
